Quantitative Software Engineer	2026-02-03	https://jobright.ai/jobs/info/68ce6c68846f0b04af679b3a?utm_source=1100&utm_campaign=Software Engineering	Hybrid	New York, United States	Two Sigma	$165000-$250000 /yr	1001-5000	Big Data, Machine Learning	"1. BS in Computer Science, Applied Mathematics, or related technical field
2. Minimum 1 year of experience required
3. Professional experience building quantitative software across at least one of the following areas: quantitative finance, math/stats/numeric methods, and machine learning/deep learning
4. Experience applying technologies and libraries such as NumPy, SciPy, or scikit-learn
5. Experience with scientific computing and algorithm development
..."	not sure	
Software Engineer	2026-02-03	https://jobright.ai/jobs/info/69811a057f40342e15d9f3ed?utm_source=1100&utm_campaign=Software Engineering	On Site	Seattle, WA	Twitch	$99500-$200000 /yr	1001-5000	Gaming, Media and Entertainment	"1. 1+ years of professional software development experience
2. A track record of building consumer-facing products that users love
3. Mastery of modern programming languages and frameworks
4. Sharp problem-solving skills with a focus on algorithms, data structures, and schema design
5. Bachelor's degree in Computer Science or equivalent real-world experience"	not sure	
Data Enablement Engineer	2026-02-03	https://jobright.ai/jobs/info/68d746dbf9dbe42bf62c0e92?utm_source=1100&utm_campaign=Software Engineering	Hybrid	New York, NY	Betterment	$100,000-$120,000 /yr	501-1000	Finance, Financial Services	"1. 1 - 3 years of experience writing SQL statements and transforming data
2. Familiarity with ETL, Python, and creating pipelines for large datasets
3. Passion for scaling and automating analytics work
4. Ability to take apart business problems, translate them into technical requirements, and translate results back to non-technical audiences
5. Autonomy, curiosity, and tenacity as a data issue detective"	not sure	
Software Engineer, Backend (Marketplace Performance)	2026-02-03	https://jobright.ai/jobs/info/6965accea112b4026613b9ae?utm_source=1100&utm_campaign=Software Engineering	Remote	"Multi Location
Miami, FL
Cleveland, OH
Chicago, IL
Las Vegas, NV
Boulder, CO
Pittsburgh, PA
Salt Lake City, UT
Portland, OR
Sioux Falls, SD
Baltimore, MD
Dallas, TX
St Louis, MO
San Diego, CA
Minneapolis, MN
Raleigh, NC
New York, NY
Madison, WI
Phoenix, AZ
Palo Alto, CA
Seattle, WA
San Francisco, CA
Richmond, VA
Boston, MA
Boise, ID
Los Angeles, CA
Atlanta, GA
Detroit, MI
Denver, CO
Austin, TX
San Jose, CA
Philadelphia, PA
Charlotte, NC
Remote US
Nashville, TN
Washington, DC
Houston, TX"	Affirm	$130,000-$170,000 /yr	1001-5000	Financial Services, FinTech	"1. You have previous work or internship experience designing, developing and launching backend systems at scale and are experienced using one of Python or Kotlin.
2. You are familiar with the building blocks of distributed systems, and the technologies like AWS, MySQL and Kubernetes.
3. You have mastered taking a simple problem or business scenario into a solution that interacts with multiple software components, and executing on it by writing clear, easily understood, well tested and extensible code.
4. You are comfortable navigating a large code base, debugging others' code, and providing feedback to other engineers through code reviews.
5. Your experience demonstrates that you take ownership of your growth, proactively seeking feedback from your team, your manager, and your stakeholders.
..."	not sure	
Support and Test Engineer	2026-02-03	https://jobright.ai/jobs/info/6981e6cba314e76369054340?utm_source=1100&utm_campaign=Software Engineering	Hybrid	Home, KS	Penspen	£35000-£35000 /yr	1001-5000	CRM, Information Technology	"1. Applicant must be residing and have the right to work in the UK.
2. Recent Graduate/ Post Graduate with a degree in Software Development, Data Science, Mathematics or similar related fields such as Mechanical Engineering or Physics.
3. At least 1+ year experience in Software Testing using including Python, HTML, Typescript, C++ and use of SQL.
4. Develop and execute test plans and test cases.
5. Identify and document bugs using Azure DevOps.
..."	no	
GRC Analyst	2026-02-03	https://jobright.ai/jobs/info/6981e447c3101f1400c38ee6?utm_source=1100&utm_campaign=Software Engineering	Remote	United States	Zoom	$73300-$169500 /yr	5001-10000	Collaboration, Information Technology	"1. Have 1+ years of experience in cybersecurity governance, risk management, compliance, or assessments/audits.
2. Demonstrate understanding of cybersecurity, GRC lifecycle, security assessment methodologies, security questionnaires, and evidence review processes.
3. Show familiarity with security, cloud, and compliance frameworks (e.g., ISO 27001/27002, NIST (CSF, 800-53, 800-171), SOC 1/2). This also includes frameworks such as CIS Controls, PCI DSS, HITRUST, FedRAMP, CSA CCM, and ISO 27017/27018.
4. Be able to analyze complex environments against cybersecurity control requirements and communicate conformance clearly to technical and non-technical audiences.
5. Show effective organizational and project management skills with attention to detail. Excellent written and verbal communication skills.
..."	not sure	
Systems Engineer I - Unified Communications (Clinical Communications)	2026-02-03	https://jobright.ai/jobs/info/695f2034a1bbea1d9a7a00f1?utm_source=1100&utm_campaign=Software Engineering	Hybrid	Cincinnati, OH	Cincinnati Children's	$61401.60-$78291.20 /yr	10000+	Health Care	"1. Bachelor's degree in a related field or equivalent combination of education and experience
2. 0+ years of experience in a related job discipline"	not sure	yes
Software Engineer - Emulation Tooling and Modeling	2026-02-03	https://jobright.ai/jobs/info/6849e2befef6a65076fe22e7?utm_source=1100&utm_campaign=Software Engineering	On Site	"Multi Location
Woburn, MA
San Diego, CA"	STR	$112K-$154K /yr	501-1000	Artificial Intelligence (AI), Machine Learning	"1. Active Secret security clearance with eligibility for Top Secret (TS) clearance, for which U.S. citizenship is needed by U.S. Government.
2. Proficiency in C/C++ and Python
3. Familiarity with virtualization tools (e.g. Docker, QEMU)
4. Strong grasp of emulation principles, computer architecture, and software engineering principles
5. Experience working with hardware components and interfaces.
..."	no	
Associate Software Engineer, Artificial Intelligence (AI)	2026-02-03	https://jobright.ai/jobs/info/6981dbf3a314e76369053d86?utm_source=1100&utm_campaign=Software Engineering	On Site	"Multi Location
Berkeley, MO
USA - Huntington Beach, CA
USA - Saint Louis, MO
USA - Fairfax, VA
USA - Berkeley, MO"	Boeing	$112200-$162150 /yr	1001-5000	Aerospace, Industrial	"1. 1+ years of experience with software development using either Java, C++, or Python
2. 1+ years of experience working in the field of Artificial Intelligence including Machine Learning
3. Knowledge of machine learning model development and evaluation
4. Ability to obtain U.S. security clearance"	no	
Security Operations Analyst	2026-02-03	https://jobright.ai/jobs/info/6965c040a112b4026613c9d1?utm_source=1100&utm_campaign=Software Engineering	Hybrid	Eagan, MN	Thomson Reuters	$71K-$131K /yr	10000+	Advice, Analytics	"1. A background and/or degree in cybersecurity or computer science.
2. One plus year(s) in a SOC or incident response environment is considered an advantage.
3. Hands-on experience investigating security incidents across operating systems, networks, cloud environments, and messaging platforms.
4. Familiarity with security tools such as SIEM, EDR, antivirus, firewalls, forensics, and cloud security solutions.
5. Solid understanding of cybersecurity attack and defense techniques, including threat detection and mitigation strategies.
..."	not sure	
Data Center Engineer	2026-02-03	https://jobright.ai/jobs/info/696c70025fc86241853b9e85?utm_source=1100&utm_campaign=Software Engineering	On Site	"Multi Location
Lees Summit, MO
Kansas City, KS"	Oracle	$27.02-$54.13 /hr	10000+	Data Governance, Data Management	"1. Resolve and diagnose server hardware issues at scale.
2. Identify and help document for the Data Center Engineering knowledge base.
3. Assist with process improvements and standard methodologies.
4. Ability to work both independently and as a part of a team.
5. A desire to learn more about the industry and a passion to make a difference in healthcare.
..."	no	
Cybersecurity Test Engineer, Junior	2026-02-03	https://jobright.ai/jobs/info/69812e3e7f40342e15da1a0f?utm_source=1100&utm_campaign=Software Engineering	On Site	Rome, NY	Booz Allen Hamilton	$55200-$126000 /yr	10000+	Consulting, Cyber Security	"1. Experience with Linux command line, including scripting in Ruby, Python, or Bash, and automating basic tasks
2. Experience with networking concepts
3. Experience with virtualization
4. Secret clearance
5. HS diploma or GED
..."	no	
AI Engineer	2026-02-03	https://jobright.ai/jobs/info/692e5292fa28370be26a37f5?utm_source=1100&utm_campaign=Software Engineering	Hybrid	San Francisco, CA	Distyl	N/A	101-250	Artificial Intelligence (AI), Generative AI	"1. Proficiency in Python or Typescript (experience with a diverse set of languages is a plus), with hands-on experience using LLM tooling such as LangChain, LlamaIndex, Guardrails, MCP and Agents SDK
2. Experience building and deploying LLM-powered AI agents in production, including tool use, prompt orchestration, RAG, and long-horizon task execution
3. Deep understanding of agent design patterns, with practical experience in observability, debugging, and human-in-the-loop feedback systems
4. Skilled at solving complex, ambiguous problems using cutting-edge AI techniques to deliver meaningful business outcomes
5. Familiar with responsible AI practices (e.g., auditability, interpretability), and experienced in aligning AI systems with enterprise-grade requirements
..."	not sure	
Infrastructure Developer	2026-02-03	https://jobright.ai/jobs/info/6965774ba112b40266136951?utm_source=1100&utm_campaign=Software Engineering	On Site	Newark, NJ	Prudential Financial	$82000-$135300 /yr	10000+	Asset Management, Finance	"1. Programming experience (Python, shell scripting, Groovy, or similar modern languages)
2. Understanding of networking fundamentals (TCP/IP, OSI model, protocols, firewall concepts)
3. Familiarity with DevOps tools and practices (automation, CI/CD pipelines)
4. Experience with infrastructure-as-code frameworks (Ansible, CloudFormation, or Terraform)
5. Basic knowledge of Linux/Unix operating systems
..."	not sure	
Full Stack Software Engineer - Top Secret Clearance	2026-02-03	https://jobright.ai/jobs/info/6981c71dabff4c399aa0e589?utm_source=1100&utm_campaign=Software Engineering	On Site	Hawthorne, CA	SpaceX	$120,000-$170,000 /yr	10000+	Aerospace, Manufacturing	"1. Bachelor's degree in computer science, engineering, math, or science discipline and 1+ years of experience in software development; or 3+ years of professional experience building software in lieu of a degree
2. 1+ years of professional experience in full-stack development of production web applications
3. Experience with JavaScript libraries such as React and Redux
4. Professional experience developing Python applications"	no	
Analyst - Cyber Security Compliance	2026-02-03	https://jobright.ai/jobs/info/6981c5c749964d25b5e4e0c1?utm_source=1100&utm_campaign=Software Engineering	Remote	United States	Cyber Focus AI	$84000-$84000 /yr	1-10		"1. 1-3 years of experience in PCI compliance programs as a PCI SSC ISA
2. Strong working knowledge of PCI DSS requirements and accurate reporting
3. General knowledge of IT environments, including network devices and asset management
4. Experience in cyber security/compliance/IT assessment projects
5. Excellent verbal and written communication skills"	not sure	
Software Engineer, Collision Avoidance (Starshield)	2026-02-03	https://jobright.ai/jobs/info/6981c2ae49964d25b5e4d722?utm_source=1100&utm_campaign=Software Engineering	On Site	Hawthorne, CA	SpaceX	$15K-$145K /yr	10000+	Aerospace, Manufacturing	"1. Bachelor’s degree in computer science, engineering, math, or science discipline; or 3+ years of professional experience in software development in lieu of a degree
2. +1 years of professional experience in software development
3. Note that an active clearance may provide the opportunity for you to work on sensitive SpaceX missions; if so, you will be subject to pre-employment drug and random drug and alcohol testing
4. Must be willing to work extended hours and weekends as needed
5. To conform to U.S. Government export regulations, applicant must be a (i) U.S. citizen or national, (ii) U.S. lawful, permanent resident (aka green card holder), (iii) Refugee under 8 U.S.C. 1157, or (iv) Asylee under 8 U.S.C. 1158, or be eligible to obtain the required authorizations from the U.S. Department of State."	no	
Software Engineer, Data - Top Secret Clearance	2026-02-03	https://jobright.ai/jobs/info/6981c14249964d25b5e4d304?utm_source=1100&utm_campaign=Software Engineering	On Site	Hawthorne, CA	SpaceX	$15K-$145K /yr	10000+	Aerospace, Manufacturing	"1. Bachelor's degree in computer science, math, or an engineering discipline
2. 1+ years of experience in software development, developing applications in languages such as Python, C++, or Java
3. Experience with high throughput data pipelines
4. This position requires successfully obtaining and maintaining a Top Secret Security Clearance as a condition of employment
5. Willing to work extended hours and weekends when needed"	no	
Software Engineer Security	2026-02-03	https://jobright.ai/jobs/info/6981bfff49964d25b5e4cf8c?utm_source=1100&utm_campaign=Software Engineering	Hybrid	United States, Washington, Redmond	Microsoft	$84200-$165200 /yr	10000+	Agentic AI, Application Performance Management	"1. Bachelor's Degree in Computer Science, or related technical discipline with proven experience coding in languages including, but not limited to, C, C++, C#, Java, JavaScript, or Python.
2. Ability to meet Microsoft, customer and/or government security screening requirements are required for this role. These requirements include but are not limited to the following specialized security screenings: Microsoft Cloud Background Check: This position will be required to pass the Microsoft Cloud background check upon hire/transfer and every two years."	not sure	
Backend Developer	2026-02-03	https://jobright.ai/jobs/info/6981bb25abff4c399aa0cb51?utm_source=1100&utm_campaign=Software Engineering	Hybrid	Newark, CA	BayRock Labs	$50-$55 /hr	51-100		"1. 1–2 years of backend development experience with Node.js and Java.
2. Familiarity with databases (SQL or NoSQL such as MySQL, PostgreSQL, MongoDB).
3. Basic understanding of cloud platforms (AWS, Azure, or GCP).
4. Exposure to version control systems (Git).
5. Strong problem‑solving skills and eagerness to learn."	not sure	
2026 Fulltime- Systems Security Engineer I (Onsite)	2026-02-03	https://jobright.ai/jobs/info/6981b9b87f40342e15dad380?utm_source=1100&utm_campaign=Software Engineering	On Site	Tewksbury, MA	Raytheon	N/A	501-1000	Intellectual Property, Internet	"1. Bachelor’s degree in Science, Technology, Engineering, or Mathematics (STEM) obtained by start date.
2. This position requires 12 months or less of professional experience (excluding internships).
3. The ability to obtain and maintain a U.S. government issued security clearance is required. U.S. citizenship is required, as only U.S. citizens are eligible for a security clearance."	no	yes
Application Software Engineer, Data	2026-02-03	https://jobright.ai/jobs/info/6965fe35a112b40266140b05?utm_source=1100&utm_campaign=Software Engineering	On Site	Hawthorne, CA	SpaceX	$120,000-$170,000 /yr	10000+	Aerospace, Manufacturing	"1. Bachelor's degree in computer science, data science, engineering, math, physics, or scientific discipline; OR 2+ years of professional experience building software in lieu of a degree
2. 1+ years of experience in full stack development, software engineering, data engineering, or data science
3. Willing to work extended hours and weekends when needed"	no	
Animation UI|UX Engineer	2026-02-03	https://jobright.ai/jobs/info/6981b57e49964d25b5e4c2eb?utm_source=1100&utm_campaign=Software Engineering	Remote	United States	StartHub	$40-$100 /hr	1-10	Business Development, E-Learning	"1. Strong portfolio showcasing implemented web animations and interactive UIs.
2. Proficiency with animation libraries (e.g., Framer Motion, GSAP, Three.js) and CSS animations.
3. Ability to write clean, reusable React components with a focus on motion.
4. A startup mindset: adaptable, proactive, and passionate about building from the ground up."	not sure	
Software Engineer, Software Platform	2026-02-03	https://jobright.ai/jobs/info/697e275bce48107c054261f3?utm_source=1100&utm_campaign=Software Engineering	On Site	"Multi Location
Costa Mesa, CA
Seattle, WA"	Anduril Industries	$129K-$171K /yr	5001-10000	Aerospace, Artificial Intelligence (AI)	"1. 1 - 3 years working with a variety of programming languages such as Rust, Go, C++, Java, Python, JavaScript/TypeScript, etc.
2. Have experience working with customers to deliver novel software capabilities
3. Want to work on building and integrating model/software/hardware-in-the-loop components by leveraging first and third party technologies (related to simulation, data management, compute infrastructure, networking, and more)
4. Love building platform and infrastructure tooling that enables other software engineers to scale their output
5. Enjoy collaborating with team members and partners in the autonomy domain, and building technologies and processes which enable users to safely and rapidly develop and deploy autonomous systems at scale
..."	no	
Software Engineer, C++ - Top Secret Clearance	2026-02-02	https://jobright.ai/jobs/info/696e81a4db26b61895115f26?utm_source=1100&utm_campaign=Software Engineering	On Site	Hawthorne, CA	SpaceX	$120000-$170000 /yr	10000+	Aerospace, Manufacturing	"1. Bachelor's degree in computer science, math, or engineering
2. 1+ years of experience in software development, programming in modern C++
3. This position requires successfully obtaining and maintaining a Top Secret Security Clearance as a condition of employment
4. Willing to work extended hours and weekends when needed
5. To conform to U.S. Government export regulations, applicant must be a (i) U.S. citizen or national, (ii) U.S. lawful, permanent resident (aka green card holder), (iii) Refugee under 8 U.S.C. § 1157, or (iv) Asylee under 8 U.S.C. § 1158, or be eligible to obtain the required authorizations from the U.S. Department of State."	no	
Junior Software Engineer	2026-02-02	https://jobright.ai/jobs/info/6981a920abff4c399aa0c0a7?utm_source=1100&utm_campaign=Software Engineering	On Site	Fresno, CA	Parsec Education	$25-$30 /hr	11-50	Analytics, Data Visualization	"1. 1+ years of experience in software development and ability to learn quickly
2. History of work experience and collaboration, organizational skills and documentation
3. Strong problem-solving skills and ability to work independently
4. Excellent communication skills and ability to work collaboratively with team members
5. Passion for education and innovation, with a commitment to our mission
..."	not sure	
Machine Learning Research Scientist	2026-02-02	https://jobright.ai/jobs/info/6942041fbdcf884a5addbd3d?utm_source=1100&utm_campaign=Software Engineering	On Site	College Park, MD	Peraton Labs	$80K-$128K /yr	10000+	Consulting, Information Services	"1. Bachelors w/ 2 years of experience or Masters with 0 years of experience with a Computer Science related degree
2. Experience coding within one or more of the following: Python, C/C++ or Java
3. Interest and/or experience in one or more of the following domains: digital signal processing, RF software engineering, algorithm development, software defined radio, and machine learning
4. Experience with modern machine learning development frameworks and platforms (e.g. Keras, TensorFlow, PyTorch) is expected
5. US Citizen with an active TS/SCI Poly"	no	yes
Junior Platform Engineer	2026-02-02	https://jobright.ai/jobs/info/6981a50949964d25b5e4b796?utm_source=1100&utm_campaign=Software Engineering	On Site	Beavercreek,, OH	Government Tactical Solutions, LLC	$145000-$190000 /yr	101-250	Information Technology, Project Management	"1. Active TS/SCI security clearance
2. Must be a US citizen
3. Bachelor's degree in Computer Science, Information Technology, Engineering, or related technical field
4. Minimum 1 year of professional experience in DevOps, platform engineering, infrastructure operations, or related field; recent graduates with relevant internships or coursework will be considered
5. Foundational knowledge of Azure cloud services
..."	no	
Associate Cyber Applied Research Scientist (AR)	2026-02-02	https://jobright.ai/jobs/info/6981a1847f40342e15dac397?utm_source=1100&utm_campaign=Software Engineering	On Site	"Multi Location
Possible
Virginia"	Lockheed Martin	$78200-$135470 /yr	10000+	Aerospace, Cyber Security	"1. Bachelor’s degree in technical fields of study such as Computer Science, Computer Engineering, Electrical Engineering, Computer Security or related field.
2. Demonstrated skills in user-space or kernel-space development
3. C, C++, Python software development
4. Networking protocols and socket application development
5. Debugging (e.g gdb, windbg, OllyDbg, Valgrind)
..."	no	
Software Developer - Entry	2026-02-02	https://jobright.ai/jobs/info/6981a0687f40342e15dac2ae?utm_source=1100&utm_campaign=Software Engineering	On Site	Huntersville, NC	Pratt Miller	$69K-$109K /yr	251-500	Automotive, Logistics	"1. BS in Engineering, Computer Science, or equivalent field.
2. Relevant experience from university programs, internships, or personal projects.
3. Development experience in .NET and Python.
4. Ability to work effectively in a fast-paced, iterative engineering environment.
5. Strong troubleshooting skills with the ability to analyze and resolve complex issues.
..."	not sure	
Postdoctoral Scholar - Cryptography - Mathematics & Statistics department	2026-02-02	https://jobright.ai/jobs/info/69819ff67f40342e15dac245?utm_source=1100&utm_campaign=Software Engineering	On Site	Tampa, FL	University of South Florida Libraries	$52500-$52500 /yr	11-50		"1. Doctoral degree from an accredited institution in mathematics, computer science, or a related field.
2. ABD candidates are accepted, but the degree must be conferred before the intended start date.
3. Must meet university criteria for appointment to the rank of Postdoctoral Fellow."	not sure	
Autonomous Vehicle AI Engineer II Computer Vision and Path Planning	2026-02-02	https://jobright.ai/jobs/info/698194ea7f40342e15dabada?utm_source=1100&utm_campaign=Software Engineering	On Site	Greater Seattle Area	Blue Origin	$135K-$189K /yr	10000+	Aerospace, Manufacturing	"1. PhD in Computer Science, Robotics, AI, Machine Learning, Aerospace Engineering, or a related field.
2. Alternatively, a Master’s degree in a related field with demonstrated project, research, professional, or internship experience in autonomous systems.
3. Demonstrated experience applying deep learning to computer vision or decision-making, preferably through academic research, significant projects, or internships.
4. Strong theoretical understanding of sensor fusion, environmental perception, and path planning algorithms.
5. High proficiency in Python and/or C++, along with experience using deep learning libraries such as PyTorch or TensorFlow.
..."	no	
Full Stack Data Discovery Engineer	2026-02-02	https://jobright.ai/jobs/info/698193d049964d25b5e4ac16?utm_source=1100&utm_campaign=Software Engineering	Remote	North Carolina, United States	Apryse	$90K-$138K /yr	251-500	Document Management, Software	"1. Bachelor's degree in Computer Science, Engineering, Library Science, Information Systems, Data Management, or a related field
2. 1-5 years of proven experience as a full-stack developer and data engineer
3. Back-end: Python, SQL, Java and Node.js
4. Front-end: Modern JS/TS + React, component libraries, auth patterns, state mgmt.
5. Data & search: schema design, dedup/near‑dup logic, Elasticsearch/OpenSearch; building usable search/triage UIs
..."	not sure	
